file,filename,num_tracks,total_notes,programs,tempos,time_signatures,key_signatures,duration_secs
..\..\data\dixqueen.mid,dixqueen.mid,2,1664,{0},93.99998120000376,2/4,F,239.00833333333333
..\..\data\docbrown.mid,docbrown.mid,2,1994,{0},88.00002346667293,2/4,G,299.0083333333333
..\..\data\dontjazz.mid,dontjazz.mid,2,3017,{0},89.9999550000225,2/4,C,318.01666666666665
..\..\data\dope.mid,dope.mid,2,2342,{0},97.9999836666694,2/4,C,327.5083333333333
..\..\data\downhome.mid,downhome.mid,2,1560,{0},170.36984453751685,4/4,C,390.51666666666665
..\..\data\drkytodl.mid,drkytodl.mid,2,2140,{0},170.0000850000425,4/4,C,534.0166666666667
..\..\data\dustyrag.mid,dustyrag.mid,2,1600,{0},86.00005160003096,2/4,C,204.00833333333333
..\..\data\eatntime.mid,eatntime.mid,2,2580,{0},85.00004250002125,2/4,C,301.7583333333333
..\..\data\efficncy.mid,efficncy.mid,2,2933,{0},91.99998773333498,2/4,C,318.01666666666665
"..\..\data\Eight_O'Clock_Rush,_The_[1911]_composed_by_Bess_E._Rudisell_www.ragtimemusic.com.mid","Eight_O'Clock_Rush,_The_[1911]_composed_by_Bess_E._Rudisell_www.ragtimemusic.com.mid",2,2503,{0},96.0,2/4,G,365.0083333333333
..\..\data\eligreen.mid,eligreen.mid,2,1909,{0},80.0,2/4,F,299.0083333333333
..\..\data\elitesyn.mid,elitesyn.mid,2,2567,{0},80.56005349187552,2/4,F,302.55
..\..\data\elksgrnd.mid,elksgrnd.mid,2,3038,{0},180.00018000018,6/8,Eb,636.0083333333333
..\..\data\emancptn.mid,emancptn.mid,2,1844,{0},96.0699389155305,2/4,F,280.2083333333333
..\..\data\encore.mid,encore.mid,2,2233,{0},97.9999836666694,2/4,F,278.01666666666665
..\..\data\entertnr.mid,entertnr.mid,2,2621,{0},75.99996960001216,2/4,C,307.1333333333333
..\..\data\ethiopia.mid,ethiopia.mid,2,2899,{0},76.8,2/4,Ab,299.0083333333333
..\..\data\eugenia.mid,eugenia.mid,2,3179,{0},72.19999398333384,2/4,Bb,334.55
..\..\data\euphonic.mid,euphonic.mid,2,2466,{0},78.66995332249437,2/4,Bb,278.55
..\..\data\evrgreen.mid,evrgreen.mid,2,2120,{0},93.99998120000376,2/4,G,298.01666666666665
..\..\data\evrybody.mid,evrybody.mid,2,2704,{0},82.00003553334874,2/4,C,238.51666666666668
..\..\data\exclsior.mid,exclsior.mid,2,2714,{0},88.14002511990716,2/4,Db,294.075
..\..\data\ezwnnrs.mid,ezwnnrs.mid,2,2518,{0},89.00004005001803,2/4,Ab,307.0083333333333
..\..\data\fascintr.mid,fascintr.mid,2,2449,{0},75.99996960001216,2/4,C,298.0083333333333
..\..\data\favorite.mid,favorite.mid,2,2127,{0},88.00002346667293,2/4,Bb,299.0083333333333
..\..\data\felicity.mid,felicity.mid,2,2366,{0},86.00005160003096,2/4,C,276.0083333333333
..\..\data\felixrag.mid,felixrag.mid,2,3245,{0},97.9999836666694,2/4,C,398.01666666666665
..\..\data\figleaf.mid,figleaf.mid,2,3134,{0},80.229992645584,2/4,Bb,344.01666666666665
..\..\data\fizzh2o.mid,fizzh2o.mid,2,2432,{0},96.99995311668933,2/4,G,580.0083333333333
..\..\data\florida.mid,florida.mid,2,2055,{0},97.9999836666694,2/4,G,239.50833333333333
..\..\data\flyingar.mid,flyingar.mid,2,2651,{0},80.0,2/4,G,365.0083333333333
..\..\data\freckles.mid,freckles.mid,2,2432,{0},89.9999550000225,2/4,Ab,342.0083333333333
..\..\data\friedckn.mid,friedckn.mid,2,2148,{0},91.87995577511462,2/4,C,196.01666666666668
..\..\data\frisco.mid,frisco.mid,2,2238,{0},83.99996640001343,2/4,C,257.0083333333333
..\..\data\froglegs.mid,froglegs.mid,2,2401,{0},96.99995311668933,2/4,Db,298.0083333333333
..\..\data\frozenb.mid,frozenb.mid,2,2009,{0},97.9999836666694,2/4,F,263.5083333333333
..\..\data\funfolks.mid,funfolks.mid,2,1944,{0},96.0,2/4,Bb,300.0083333333333
..\..\data\gasoline.mid,gasoline.mid,2,2006,{0},84.08001053802799,2/4,G,236.00833333333333
..\..\data\gboldgal.mid,gboldgal.mid,3,2321,"{0, 85}",96.0,2/4,F,246.00833333333333
..\..\data\gensmith.mid,gensmith.mid,2,1507,{0},210.00021000021,4/4,A,370.0083333333333
..\..\data\gladcat.mid,gladcat.mid,2,2659,{0},86.00005160003096,2/4,Bb,296.0083333333333
..\..\data\gladiols.mid,gladiols.mid,2,3107,{0},69.44002407254168,2/4,Ab,296.55
..\..\data\gldndeer.mid,gldndeer.mid,2,533,{0},88.00002346667293,2/4,C,99.00833333333334
..\..\data\gobblers.mid,gobblers.mid,2,1574,{0},185.99979540022505,4/4,F,450.84166666666664
..\..\data\goldspdr.mid,goldspdr.mid,2,2348,{0},93.99998120000376,2/4,C,297.5083333333333
..\..\data\gracebty.mid,gracebty.mid,2,2747,{0},91.99998773333498,2/4,Ab,303.59166666666664
..\..\data\grtscott.mid,grtscott.mid,2,2374,{0},97.9999836666694,2/4,G,298.01666666666665
..\..\data\gumshoe.mid,gumshoe.mid,2,1838,{0},170.0000850000425,4/4,C,446.0083333333333
..\..\data\halleys.mid,halleys.mid,2,2123,{0},91.99998773333498,2/4,Eb,295.5083333333333
..\..\data\hamand.mid,hamand.mid,2,2795,{0},120.0,2/4,C,301.0083333333333
..\..\data\handplay.mid,handplay.mid,2,1961,{0},77.200007205334,2/4,C,250.00833333333333
..\..\data\hapheine.mid,hapheine.mid,2,1762,{0},108.36995334673509,2/4,Bb,273.1333333333333
..\..\data\harlem.mid,harlem.mid,2,2020,{0},94.99999208333399,2/4,C,262.0083333333333
..\..\data\harmonyc.mid,harmonyc.mid,2,4531,{0},120.0,4/4,Bb,1050.025
..\..\data\hayride.mid,hayride.mid,2,2024,{0},107.99991360006912,2/4,C,301.0083333333333
..\..\data\heliotrp.mid,heliotrp.mid,2,2657,{0},73.190011027295,2/4,G,288.01666666666665
..\..\data\highyell.mid,highyell.mid,2,2249,{0},104.99992125005906,2/4,G,327.34166666666664
..\..\data\hilarity.mid,hilarity.mid,2,2518,{0},96.0,2/4,Ab,298.01666666666665
..\..\data\hindurag.mid,hindurag.mid,2,2311,{0},88.00002346667293,2/4,C,251.36666666666667
..\..\data\holymose.mid,holymose.mid,2,2454,{0},89.9999550000225,2/4,G,340.0083333333333
..\..\data\honeyrag.mid,honeyrag.mid,2,2402,{0},83.99996640001343,2/4,C,301.0083333333333
..\..\data\honeysuc.mid,honeysuc.mid,2,1769,{0},95.82001169004143,2/4,Bb,238.51666666666668
..\..\data\hoosier.mid,hoosier.mid,2,1814,{0},80.0,2/4,Bb,235.00833333333333
..\..\data\horsesho.mid,horsesho.mid,2,2386,{0},80.0,2/4,F,237.00833333333333
..\..\data\hotcabge.mid,hotcabge.mid,2,2038,{0},96.34994299295039,2/4,G,214.51666666666668
..\..\data\hotchoc.mid,hotchoc.mid,2,1846,{0},83.99996640001343,2/4,G,237.00833333333333
..\..\data\hothouse.mid,hothouse.mid,2,2098,{0},77.99997660000702,2/4,C,227.00833333333333
..\..\data\hotsctch.mid,hotsctch.mid,2,1712,{0},91.99998773333498,2/4,F,229.35833333333332
..\..\data\hyacinth.mid,hyacinth.mid,2,2243,{0},105.03006485606505,2/4,G,264.51666666666665
..\..\data\icepalce.mid,icepalce.mid,2,3163,{0},180.64997862308587,6/8,C,606.5083333333333
..\..\data\ida-ho.mid,ida-ho.mid,2,2774,{0},104.99992125005906,2/4,G,355.0083333333333
..\..\data\igtblues.mid,igtblues.mid,2,1484,{0},89.9999550000225,2/4,G,212.00833333333333
..\..\data\imalabnd.mid,imalabnd.mid,2,1640,{0},93.00004185001883,2/4,F,205.00833333333333
..\..\data\impecund.mid,impecund.mid,2,2322,{0},80.0,2/4,Eb,306.0083333333333
..\..\data\imprlrag.mid,imprlrag.mid,2,1333,{0},102.69998254100297,2/4,Bb,150.26666666666668
..\..\data\inksplch.mid,inksplch.mid,2,2052,{0},140.00014000014,4/4,F,389.0083333333333
..\..\data\intokio.mid,intokio.mid,2,2030,{0},93.99998120000376,2/4,C,366.01666666666665
..\..\data\jackfrst.mid,jackfrst.mid,2,2983,{0},97.79998924200119,2/4,G,318.51666666666665
..\..\data\jamaica.mid,jamaica.mid,2,2210,{0},86.00005160003096,2/4,C,238.01666666666668
..\..\data\jinxrag.mid,jinxrag.mid,2,2614,{0},65.99999340000066,2/4,F,275.0083333333333
..\..\data\jjjrag.mid,jjjrag.mid,2,1965,{0},75.99996960001216,2/4,C,236.00833333333333
..\..\data\jstaskme.mid,jstaskme.mid,2,1724,{0},172.00010320006191,4/4,C,471.0083333333333
..\..\data\jungletm.mid,jungletm.mid,2,2971,{0},96.0,2/4,Ab,398.01666666666665
..\..\data\kalamity.mid,kalamity.mid,2,2094,{0},86.28003623761522,2/4,C,261.7083333333333
..\..\data\kansascr.mid,kansascr.mid,2,2228,{0},97.9999836666694,2/4,C,318.01666666666665
..\..\data\kindfell.mid,kindfell.mid,2,1362,{0},180.00018000018,6/8,G,300.0083333333333
..\..\data\kinklets.mid,kinklets.mid,2,2173,{0},89.9999550000225,2/4,Bb,278.0083333333333
..\..\data\kismet.mid,kismet.mid,2,2907,{0},81.8300471750222,2/4,C,304.55
